t,y_obs
1250,0.555756361
1350,0.182915235
1450,0.621434928
1550,-0.234276954
1650,0.063460134
1750,0.117538685
1850,0.152717041
1950,-0.029682325
2050,0.118650257
2150,-0.490845842
2250,-0.058747415
2350,-0.421034902
2450,-0.445922272
2550,-0.666224921
2650,-0.466827258
2750,-0.143051325
2850,0.108605373
2950,0.098181121
3050,-0.497642153
3150,-0.570570262
3250,-0.084944825
3350,-0.080384851
3450,-0.022274116
3550,-0.364299798
3650,-0.172345738
3750,0.211747798
3850,0.063713742
3950,0.223769736
4050,-0.066707828
4150,0.173763133
4250,0.409203844
4350,0.139436962
4450,-0.122914992
4550,0.320522717
4650,-0.149498078
4750,0.105785907
4850,0.373158476
4950,0.742722027
5050,0.021812422
5150,-0.15048931
5250,0.649430475
5350,0.144011591
5450,0.306796051
5550,0.06558895
5650,0.145265588
5750,0.427980873
5850,0.476057412
5950,0.295723813
6050,0.301153044
6150,0.381551542
6250,0.176785989
6350,-0.087104672
6450,0.154873421
6550,0.435046088
6650,0.384555595
6750,0.107874143
6850,0.314225616
6950,-0.075099573
7050,0.344818365
7150,-0.16829095
7250,-0.146118339
7350,0.152302641
7450,-0.314210087
7550,-0.10499644
7650,-0.226555925
7750,-0.298074761
7850,-0.270953314
7950,-0.424624543
8050,-0.819881577
8150,-0.470823221
8250,-0.847543429
8350,-0.702506844
8450,-0.656719141
8550,-0.553984884
8650,-1.061817258
8750,-0.443219588
8850,-0.607990514
8950,-0.363390584
9050,-0.430621692
9150,-0.177512148
9250,0.055105924
9350,-0.168494211
9450,-0.396554884
9550,-0.020521307
9650,0.414815014
9750,0.021397707
9850,0.399227665
9950,0.37056704
10050,0.430780228
10150,0.085058436
10250,0.485240788
10350,0.709018527
10450,0.617374083
10550,0.816476465
10650,0.739655894
10750,0.875724557
10850,0.81442544
10950,0.870524344
11050,0.721841511
11150,0.362187543
11250,0.943581373
11350,1.043891723
11450,0.836143924
11550,0.016840054
11650,1.401591308
11750,0.913500761
11850,0.820815042
11950,0.876976141
12050,0.576884151
12150,0.3616185
12250,0.076205794
12350,-0.14387784
12450,-0.278589834
12550,-0.560898403
12650,-0.771600338
12750,-0.907183922
12850,-1.080326181
12950,-1.29254883
13050,-1.173424188
13150,-1.266883513
13250,-1.524614393
13350,-1.424175566
13450,-0.689027576
13550,-0.567922547
13650,-0.935255401
13750,-0.657066108
13850,-0.846142873
13950,-1.007625596
14050,-0.75331333
14150,-1.246636063
14250,-0.232833273
14350,-0.475579724
14450,0.135569958
14550,0.610214025
14650,0.197624429
14750,0.059868966
14850,0.823546023
14950,0.530834145
15050,0.866192816
15150,0.424918858
15250,0.765690346
15350,0.540967202
15450,0.410085914
15550,0.526708221
15650,0.839926611
15750,0.627452479
15850,0.893706326
15950,0.851595649
16050,1.032399721
16150,1.073691565
16250,1.266203648
16350,0.326423051
16450,0.411147637
16550,-0.094411352
16650,0.330467395
16750,0.64265619
16850,0.066355194
16950,-0.121939548
17050,0.061131254
17150,-0.046125509
17250,-0.518913703
17350,-0.338363383
17450,0.116660637
17550,0.041588197
17650,-0.175693191
17750,-0.132545397
17850,-0.15605448
17950,-0.994973408
18050,-0.713169443
18150,-0.872987862
18250,-0.514927439
18350,-0.735238529
18450,-0.961315529
18550,-0.613615813
18650,0.335597272
18750,-0.08468459
18850,-0.171252987
18950,-0.878943938
19050,-0.840833065
19150,-0.559341352
19250,-0.410389386
19350,-0.597977066
19450,0.209620081
19550,-0.009121773
19650,0.128991524
19750,0.315265474
19850,0.235737683
19950,-0.091776124
20050,0.421019763
20150,0.074264977
20250,0.037724735
20350,0.374298203
20450,-0.011218509
20550,0.312743786
20650,0.357444712
20750,0.770764267
20850,0.104749192
20950,-0.335916134
21050,0.274226631
21150,-0.370948539
21250,-0.12548118
21350,0.408293704
21450,0.389621759
21550,0.292853636
21650,-0.271549173
21750,-0.119357233
21850,-0.116340886
21950,-0.3415034
22050,-0.01655652
22150,-0.242685127
22250,-0.145387272
22350,0.194859918
22450,-0.207640346
22550,-0.405752465
22650,-0.229986036
22750,0.173463086
22850,-0.269499307
22950,0.245331985
23050,0.065587735
23150,-0.012008472
23250,0.464440992
23350,0.828241472
23450,0.98458657
23550,0.718529731
23650,0.87418553
23750,0.902477201
23850,0.879203106
23950,0.883868867
24050,0.064335948
24150,0.178514909
24250,-0.181105714
24350,-0.118030309
24450,-0.252171637
24550,0.092145461
24650,-0.323496216
24750,-0.080185336
24850,-0.158368196
24950,-0.316307984
25050,0.007428135
25150,-0.422380134
25250,-0.28895453
25350,0.335741697
25450,-0.167380775
25550,-0.050630756
25650,-0.601098549
25750,-0.060493511
25850,-0.337614743
25950,-0.236475418
26050,-0.595987878
26150,-0.29670703
26250,-0.704544663
26350,0.04055615
26450,-0.463706036
26550,0.312426231
26650,-0.361757512
26750,-0.131611381
26850,-0.714125362
26950,-0.442289915
27050,-0.836295255
27150,-1.195013398
27250,-0.528585014
27350,-0.670917696
27450,-0.836028279
27550,-0.390994877
27650,-0.463874511
27750,0.13301907
27850,0.187738912
27950,0.202885429
28050,0.515641606
28150,0.51473511
28250,0.22579498
28350,0.209270111
28450,0.38088779
28550,-0.165659029
28650,-0.583245561
28750,-0.038000067
28850,-0.359879653
28950,0.71721291
29050,0.742028131
29150,1.131245134
29250,0.319637657
29350,0.867601098
29450,1.02088204
29550,1.5351653
29650,0.692300494
29750,1.083671029
29850,0.850774345
29950,0.965502004
30050,1.134704136
30150,1.002106358
30250,0.307855496
30350,-0.342217056
30450,-0.454305729
30550,-0.461020206
30650,-0.52033638
30750,-0.458081682
30850,0.453421372
30950,-0.168592375
31050,-0.059050663
31150,-0.21262988
31250,-0.579654057
31350,-0.494024659
31450,-0.91182291
31550,-0.578664476
31650,-1.233958237
31750,-0.691456816
31850,-0.486302318
31950,-0.976529388
32050,-0.659038386
32150,-0.721971462
32250,0.029251037
32350,-0.000342093
32450,-0.451971678
32550,0.741127655
32650,0.55936336
32750,0.337290432
32850,0.639911529
32950,0.32083114
33050,-0.19080594
33150,-0.282543431
33250,0.092555994
33350,-0.576054421
33450,0.235528691
33550,0.408560445
33650,0.385403055
33750,0.231591519
33850,0.23993981
33950,0.357650156
34050,0.525914547
34150,0.517962865
34250,-0.258887448
34350,-0.689059173
34450,-0.12880263
34550,-0.586897193
34650,0.236809873
34750,-0.346971028
34850,-0.831516039
34950,-0.48731917
35050,0.24325274
35150,-0.065004573
35250,-0.016781635
35350,0.583321186
35450,0.249346794
35550,-0.035239867
35650,0.363656372
35750,0.743333891
35850,0.69664064
35950,0.508690905
36050,0.672771166
36150,0.182740662
36250,-0.113924095
36350,-0.207705053
36450,-0.349283167
36550,-0.022662138
36650,-0.447974254
36750,-0.972301802
36850,-0.494351158
36950,-1.262796895
37050,-1.140634407
37150,-1.099798546
37250,-0.583254336
37350,-0.667865649
37450,-0.290894067
37550,-0.676170997
37650,-0.202715069
37750,0.009024315
37850,-0.469707618
37950,0.059825442
38050,0.328825631
38150,1.047417383
38250,0.349097069
38350,0.949825936
38450,0.642250301
38550,0.689534186
38650,1.000175544
38750,1.261710107
38850,0.953668809
38950,0.879052771
39050,1.217668043
39150,1.202453112
39250,1.365810877
39350,0.601451025
39450,0.648011211
39550,0.165386054
39650,-0.33172805
39750,-0.49901333
39850,-0.853661613
39950,-0.750417607
40050,-0.506302996
40150,-0.526717214
40250,-0.193202168
40350,-0.252668626
40450,-0.169576059
40550,-0.35151943
40650,-0.259356853
40750,-0.584354353
40850,-0.735755244
40950,-0.906494079
41050,-0.401844874
41150,0.367464333
41250,-0.07006211
41350,0.122921678
41450,0.332919916
41550,0.3793493
41650,0.716992191
41750,-0.180236837
41850,-0.011357842
41950,-0.103353777
42050,-0.448508527
42150,-0.610577095
42250,-0.309292011
42350,-0.441883112
42450,-0.471067562
42550,-0.075400336
42650,-0.184837187
42750,-0.28402423
42850,-0.534107935
42950,0.144896676
43050,0.165041457
43150,0.313878789
43250,0.17224177
43350,0.074254222
43450,0.101959274
43550,0.051100314
43650,0.523334005
43750,0.59100959
43850,0.598906626
43950,0.448603638
44050,-0.42788779
44150,-0.393192663
44250,-1.094853015
44350,-0.368348153
44450,-0.357076913
44550,-0.003001601
44650,0.031905528
44750,-0.536753099
44850,-0.626475677
44950,-1.176195952
45050,-0.492072466
45150,-0.18959684
45250,-0.161932775
45350,-0.017448258
45450,-0.498656332
45550,-0.239082839
45650,-0.516649266
45750,-0.170854456
45850,0.621259626
45950,0.04274818
46050,0.94426069
46150,0.107839357
46250,0.71695864
46350,0.866928212
46450,0.388283448
46550,0.551771191
46650,0.983049572
46750,1.104115472
46850,0.86117517
46950,0.474249883
47050,0.826887297
47150,0.783372433
47250,0.541449045
47350,0.654919978
47450,1.086615104
47550,0.890890043
47650,0.969859124
47750,0.629094618
47850,0.933697497
47950,0.699159003
48050,-0.156585766
48150,-0.584867268
48250,-0.845429366
48350,-0.633126275
48450,-1.004118279
48550,-0.931367007
48650,-0.990645243
48750,-0.817998072
48850,-0.133146428
48950,-0.80930602
49050,-0.218792734
49150,-0.396973077
49250,-0.514569663
49350,-0.658423136
49450,0.286408998
49550,-0.009418903
49650,-0.479315287
49750,-0.079174088
49850,-0.253057087
49950,-0.683415965
50050,-0.718935149
50150,-0.708986962
50250,-0.045984957
50350,-0.699450435
50450,-0.156704154
50550,-0.544611034
50650,-0.188109732
50750,-0.214261487
50850,-0.216560885
50950,-0.252886326
51050,-0.301176567
51150,-0.008529731
51250,0.068606352
51350,-0.280229746
51450,0.240269896
51550,-0.307719352
51650,0.447597569
51750,0.086352888
51850,0.367374819
51950,0.304446439
52050,-0.027245632
52150,0.006932044
52250,0.121095314
52350,0.457407601
52450,0.26341984
52550,0.422307249
52650,0.308196117
52750,0.370828505
52850,0.280795603
52950,0.346153393
53050,-0.018790621
53150,0.208952107
53250,-0.180381763
53350,-0.338104198
53450,0.490511866
53550,0.222589988
53650,0.145624014
53750,0.016671594
53850,0.033065569
53950,0.502160253
54050,0.514959265
54150,0.706434238
54250,0.906693139
54350,0.651371226
54450,0.197139608
54550,0.222679382
54650,0.630014722
54750,0.801396811
54850,0.111947335
54950,0.021151483
55050,0.266535805
55150,0.138793846
55250,-0.414669228
55350,-0.476229142
55450,-0.500461955
55550,0.187120415
55650,-0.083967002
55750,0.101124596
55850,0.160753588
55950,0.137848583
56050,0.041478343
56150,-0.120627382
56250,-0.12155046
56350,-0.196989308
56450,-0.328162391
56550,-0.497151193
56650,-0.45132977
56750,-0.79697107
56850,-0.528001068
56950,-0.523538703
57050,-0.879830823
57150,-0.648758618
57250,-0.571384559
57350,-0.623355522
57450,-0.667760262
57550,-0.74677565
57650,-0.895000758
57750,-0.442012441
57850,0.029493952
57950,-0.099443195
58050,-0.079364706
58150,0.522421585
58250,0.23855446
58350,-0.155869595
58450,-0.266891702
58550,0.131936639
58650,0.080419892
58750,-0.318047686
58850,-0.463147958
58950,-0.017744797
59050,-0.203469761
59150,0.044529769
59250,0.307592578
59350,0.105035744
59450,0.002482106
59550,0.703655424
59650,0.663152381
59750,0.756500837
59850,0.525758897
59950,0.456428524
60050,0.87676953
60150,0.453988549
60250,0.512055471
60350,0.770757588
60450,0.500340147
60550,0.149029575
60650,0.611190101
60750,0.454412784
60850,0.247946971
60950,0.046041386
61050,0.14214594
61150,0.208316313
61250,-0.520419523
61350,-0.318053077
61450,0.245727396
61550,0.210610074
61650,0.255881856
61750,-0.300725571
61850,-0.056195328
61950,-0.132982309
62050,-0.30038506
62150,-0.259664452
62250,-0.482899562
62350,-0.26664162
62450,0.085286766
62550,0.408307938
62650,-0.25105413
62750,0.331640817
62850,-0.025168603
62950,0.228996361
63050,-0.439424206
63150,-0.029510464
63250,-0.389344242
63350,-0.178885299
63450,0.075109101
63550,-0.332021238
63650,-0.056196033
63750,0.148465167
63850,-0.611217156
63950,-0.428451945
64050,-0.544220397
64150,-0.229311933
64250,0.113901209
64350,-0.15293061
64450,-0.254370144
64550,-0.614795418
64650,-0.137169333
64750,0.061948431
64850,0.045216287
64950,-0.06306926
65050,0.172099314
65150,0.084605955
65250,0.203034963
65350,0.369184809
65450,0.27936566
65550,-0.293523825
65650,-0.174725097
65750,-0.149398253
65850,0.414584489
65950,0.077033205
66050,-0.104817486
66150,0.742050909
66250,0.220198619
66350,0.171046531
66450,0.042835115
66550,0.353009401
66650,0.276606388
66750,-0.709939878
66850,-0.086662267
66950,0.238803972
67050,0.517916331
67150,0.041262374
67250,0.070764941
67350,0.203956284
67450,-0.28702889
67550,-0.093243825
67650,0.283692843
67750,0.328514782
67850,0.22608048
67950,0.419289166
68050,0.003972224
68150,0.597379139
68250,0.283758448
68350,0.191744517
68450,-0.116845527
68550,-0.345156073
68650,-0.239587287
68750,-0.640785294
68850,-0.742649867
68950,0.856684674
69050,-0.645993706
69150,0.331996438
69250,-0.27333777
69350,-0.28184899
69450,-0.419256814
69550,-0.58980966
69650,-0.307499385
69750,0.450784
69850,0.37890228
69950,0.076994343
70050,0.560648694
70150,-0.049203791
70250,-0.565001433
70350,-0.382458546
70450,-0.944533338
70550,-1.111191904
70650,-1.185383135
70750,-0.374824004
70850,-0.447345698
70950,-0.693157439
71050,-0.250961599
71150,-0.184614446
71250,-0.451743017
71350,-0.437385254
71450,0.048928236
71550,-0.088316927
71650,0.213396086
71750,-0.030294403
71850,0.364535267
71950,0.45239
72050,0.615576481
72150,0.628485436
72250,0.420105668
72350,0.50952758
72450,1.044400697
72550,0.680151724
72650,1.05055797
72750,0.681239465
72850,0.877609825
72950,0.966195536
73050,0.681653991
73150,0.910239917
73250,0.804048827
73350,0.758201008
73450,0.299903067
73550,0.215432467
73650,-1.178787842
73750,-0.843687552
73850,-0.797678033
73950,-0.658519876
74050,-0.311307207
74150,-0.694056105
74250,-0.857401167
74350,-0.274037398
74450,-0.07792198
74550,-0.50299819
74650,-0.158258274
74750,-0.201742932
74850,-0.593156289
74950,-0.161420434
75050,0.105178651
75150,-0.633659787
75250,-0.454327243
75350,-0.049896109
75450,0.214661231
75550,0.296396276
75650,0.348533943
75750,0.016352455
75850,0.527546738
75950,0.689362335
76050,0.71515728
76150,0.333219158
76250,0.039154856
76350,-0.076462523
76450,0.378956467
76550,0.490151307
76650,0.248075419
76750,0.145791959
76850,0.206179238
76950,0.292535379
77050,0.440652102
77150,0.329012826
77250,-0.256163842
77350,-0.311554963
77450,-0.533928587
77550,-0.362950391
77650,-0.292299992
77750,-0.520830525
77850,0.189120405
77950,-0.566705751
78050,-0.283992958
78150,0.19687805
78250,-0.216566791
78350,-0.241245527
78450,0.400020364
78550,0.452918551
78650,-0.166579668
78750,0.076453407
78850,0.717889328
78950,-0.208020806
79050,-0.147506678
79150,0.321668059
79250,-0.213751258
79350,-0.168204954
79450,-0.117332922
79550,-0.412167288
79650,-0.237062573
79750,-0.517387117
79850,-0.200480095
79950,-0.396408379
80050,-0.595275577
80150,-0.265845658
80250,-0.508855449
80350,-0.158906233
80450,-0.399781
80550,-0.163209144
80650,-0.512421381
80750,-0.372480287
80850,-0.238388657
80950,-0.296722022
81050,0.020915526
81150,0.080758744
81250,0.223136448
81350,0.329052681
81450,-0.154302847
81550,0.300495082
81650,0.211264859
81750,0.486330518
81850,0.585445644
81950,0.289934949
82050,0.617832502
82150,0.224114629
82250,0.326881245
82350,0.039462994
82450,0.249023606
82550,0.181386775
82650,-0.371602086
82750,-0.12853546
82850,-0.010761666
82950,-0.162686197
83050,-0.032500281
83150,-0.451396685
83250,-0.280305356
83350,0.111285108
83450,-0.02084913
83550,-0.186512169
83650,0.063458421
83750,-0.001629607
83850,0.161449822
83950,0.368679738
84050,0.328113756
84150,0.303395852
84250,0.108161053
84350,0.345628448
84450,0.485767443
84550,0.182733841
84650,0.517901856
84750,-0.099131575
84850,0.09559414
84950,0.331766187
85050,0.240908655
85150,0.215394072
85250,0.091268441
